store_name,full_address,city,province,latitude,longitude,store_type,operating_hours,osm_id,osm_type
Alfamart,,Tulang Bawang Barat,Lampung,-4.63458,105.0787568,convenience,,2496153084,node
Alfamart,,Tulang Bawang Barat,Lampung,-4.5218708,105.0887822,convenience,,2506833372,node
Alfamart,,Kota Bogor,Jawa Barat,-6.6333399,106.825494,convenience,,2516800435,node
Alfamart,,Jakarta,DKI Jakarta,-6.1157915,106.9072958,convenience,,2519477751,node
Alfamart,PB. Sudirman,Pandean,Jawa Timur,-7.548317,111.6577783,convenience,,2550219946,node
Alfamart,,Bantaeng,Sulawesi Selatan,-5.5460431,119.9470803,convenience,,2626640518,node
Alfamart,,Kota Bekasi,Jawa Barat,-6.3473843,106.9475079,convenience,,2639247065,node
Alfamart,,Kota Bekasi,Jawa Barat,-6.3331501,106.9536186,convenience,,2639248509,node
Alfamart,,Kota Bekasi,Jawa Barat,-6.3200387,106.9485819,convenience,,2640697219,node
Alfamart,,Lombok Barat,Nusa Tenggara Barat,-8.5001622,116.0498261,convenience,,2678338248,node
Alfamart,,Lombok Barat,Nusa Tenggara Barat,-8.5383938,116.090394,convenience,,2678338249,node
Alfamart,,Lombok Barat,Nusa Tenggara Barat,-8.5399619,116.0833151,convenience,,2678338250,node
Alfamart,,Lombok Barat,Nusa Tenggara Barat,-8.5424853,116.0717289,convenience,,2678338251,node
Alfamart,,Lombok Barat,Nusa Tenggara Barat,-8.543491,116.1072638,convenience,,2678338252,node
Alfamart,,Jakarta,DKI Jakarta,-6.2797164,106.8351216,convenience,,2689409469,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5593291,116.1101528,convenience,,2690662160,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5838461,116.0866868,convenience,,2690662161,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5861616,116.1009186,convenience,,2690662162,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5877241,116.1116861,convenience,,2690662163,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5679094,116.0762959,convenience,,2690662164,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5715489,116.0775593,convenience,,2690662165,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5757598,116.1101246,convenience,,2690662166,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5779632,116.1235525,convenience,,2690662167,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5814567,116.1121632,convenience,,2690662168,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5837899,116.1059136,convenience,,2690662169,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5843183,116.0992667,convenience,,2690662170,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5864822,116.1200239,convenience,,2690662171,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5867501,116.1253583,convenience,,2690662172,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5870471,116.1290835,convenience,,2690662173,node
